Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2018,61,of michigan,180,1,0.994475138121547
2015,61,stanford univ,180,0,1.0
2012,52,goldman sachs  co,179,1,0.9944444444444445
2016,54,,176,76,0.6984126984126984
2019,54,intuit,176,3,0.9832402234636871
2018,54,mphasis,175,60,0.7446808510638298
2012,51,bloomberg,175,3,0.9831460674157303
2019,54,juniper,174,10,0.9456521739130435
2017,33,general motors,172,2,0.9885057471264368
2018,51,oracle,172,26,0.8686868686868687
2019,54,mindtree,171,9,0.95
2013,54,csc covansys,170,3,0.9826589595375722
2014,54,zensar,170,9,0.9497206703910615
2015,54,epic,170,2,0.9883720930232558
2019,54,synopsys,170,5,0.9714285714285714
2017,54,mckinsey,169,0,1.0
2018,54,syntel,168,126,0.5714285714285714
2016,54,mckinsey  united states,168,2,0.9882352941176471
2018,51,linkedin,168,3,0.9824561403508771
2014,54,polarisware  india,167,8,0.9542857142857143
2012,51,yahoo,165,0,1.0
2016,33,cummins,165,1,0.9939759036144579
2018,54,,164,108,0.6029411764705882
2013,54,igate  igate comp,164,18,0.9010989010989011
2013,54,hitachi,164,2,0.9879518072289156
2018,33,nvidia,163,0,1.0
2013,33,nvidia,163,1,0.9939024390243902
2016,61,johns hopkins univ,163,1,0.9939024390243902
2014,54,kpit info,163,4,0.9760479041916168
2016,54,national institutes of healthdhhs,162,0,1.0
2013,33,dell marketing,161,1,0.9938271604938271
2013,54,birlasoft,161,9,0.9470588235294117
2013,54,niit,161,0,1.0
2017,45,ebay,160,1,0.9937888198757764
2017,54,cerner,159,2,0.9875776397515528
2016,54,epic,159,0,1.0
2014,61,stanford univ,158,4,0.9753086419753086
2017,54,uber,158,15,0.9132947976878613
2019,52,visa  operations,158,4,0.9753086419753086
2014,54,ksoft,157,4,0.9751552795031055
2017,33,cummins,157,2,0.9874213836477987
2018,54,hexaware,156,20,0.8863636363636364
2017,33,nvidia,155,1,0.9935897435897436
2012,61,of michigan,155,0,1.0
2018,54,larsen  toubro,155,43,0.7828282828282829
2017,54,kpmg,154,1,0.9935483870967742
2019,61,harvard univ,153,1,0.9935064935064936
2018,54,sap,153,12,0.9272727272727272
2019,54,adobe,153,10,0.9386503067484663
2013,54,enterprises,152,13,0.9212121212121213
2017,54,virtusa,152,8,0.95
2017,54,salesforcecom,151,4,0.9741935483870968
2016,52,bank of  na,151,1,0.993421052631579
2018,54,uber,151,10,0.937888198757764
2018,54,adobe,151,1,0.993421052631579
2019,54,epam,151,34,0.8162162162162162
2013,54,smartplay,151,3,0.9805194805194806
2019,52,capital one,150,3,0.9803921568627451
2017,51,linkedin,150,0,1.0
2019,54,hewlett packard enterprise,150,10,0.9375
2017,54,mindtree,149,7,0.9551282051282052
2013,54,kpmg,149,4,0.9738562091503268
2012,54,zylog   dba zsl,149,0,1.0
2017,52,paypal,149,4,0.9738562091503268
2016,54,colera  previously known as,149,2,0.9867549668874173
2016,61,columbia,148,0,1.0
2018,54,mindtree,148,98,0.6016260162601627
2018,54,synechron,147,21,0.875
2013,51,the mathworks,147,0,1.0
2012,54,hitachi,147,0,1.0
2016,54,mar,147,12,0.9245283018867925
2016,54,ntt,146,7,0.954248366013072
2019,54,the boston,146,56,0.7227722772277227
2012,33,texas instruments,145,0,1.0
2019,54,virtusa,145,23,0.8630952380952381
2017,61,mayo clinic,145,2,0.9863945578231292
2015,51,bloomberg,145,0,1.0
2012,33,ericsson,145,2,0.9863945578231292
2016,45,walmart,144,1,0.993103448275862
2015,61,harvard univ,144,0,1.0
2013,54,persistent,144,3,0.9795918367346939
2013,54,experis,144,12,0.9230769230769231
2019,61,mayo clinic,144,2,0.9863013698630136
2016,33,qualcomm,144,1,0.993103448275862
2017,51,amazon,143,4,0.9727891156462585
2019,49,fedex,143,10,0.934640522875817
2018,54,computer sciences,143,34,0.807909604519774
2014,54,vmware,142,0,1.0
2017,54,kpit info,142,7,0.9530201342281879
2014,54,experis,142,3,0.9793103448275862
2013,33,cummins,142,1,0.993006993006993
2012,61,harvard,141,0,1.0
2017,52,inovant,141,0,1.0
2012,54,emc,141,3,0.9791666666666666
2017,45,waltmart,141,2,0.986013986013986
2019,54,citius,141,50,0.7382198952879581
2017,61,columbia univ,140,1,0.9929078014184397
2014,61,harvard univ,140,1,0.9929078014184397
2019,61,columbia,140,2,0.9859154929577465
2019,51,the mathworks,140,1,0.9929078014184397
2017,54,,139,87,0.6150442477876106
2012,21,schlumberger,139,0,1.0
2016,61,univ of chicago,139,1,0.9928571428571429
2014,54,hitachi,139,3,0.9788732394366197
2018,61,mayo clinic,139,8,0.9455782312925171
2013,61,yale univ,139,1,0.9928571428571429
2015,54,experis,139,1,0.9928571428571429
2019,52,citibank n a,138,6,0.9583333333333334
2012,45,ebay,138,4,0.971830985915493
2015,61,johns hopkins,138,3,0.9787234042553191
2019,61,univ of california san francisco,138,1,0.9928057553956835
2016,54,cerner,137,1,0.9927536231884058
2014,54,niit,137,1,0.9927536231884058
2019,54,cgi  and,137,10,0.9319727891156463
2012,54,enterprises,136,3,0.9784172661870504
2013,33,broadcom,136,2,0.9855072463768116
2014,54,emc,136,4,0.9714285714285714
2016,61,of pennsylvania,136,1,0.9927007299270073
2017,54,zs,136,97,0.5836909871244635
2016,54,synechron,136,0,1.0
2017,61,of pennsylvania,136,0,1.0
2013,54,htc,135,3,0.9782608695652174
2013,61,of pennsylvania,135,1,0.9926470588235294
2014,54,birlasoft,135,8,0.9440559440559441
2015,54,enterprises,134,9,0.9370629370629371
2013,54,emc,134,1,0.9925925925925926
2012,54,disnatl institutes of hlth dhhs,134,0,1.0
2012,61,columbia,134,0,1.0
2017,52,morgan stanley,134,2,0.9852941176470589
2017,54,epam,133,5,0.9637681159420289
2013,61,univ of minnesota,133,0,1.0
2013,54,netapp,133,0,1.0
2016,51,amazon,132,0,1.0
2013,45,ebay,132,1,0.9924812030075187
2012,54,mckinsey,132,1,0.9924812030075187
2013,33,foundries u s,132,2,0.9850746268656716
2018,51,the mathworks,132,2,0.9850746268656716
2015,54,mckinsey,132,3,0.9777777777777777
2019,54,now,131,6,0.9562043795620438
2018,54,cerner,131,1,0.9924242424242424
2017,54,mar,131,5,0.9632352941176471
2013,61,stanford univ,131,1,0.9924242424242424
2015,54,emc,131,1,0.9924242424242424
2017,54,juniper,130,1,0.9923664122137404
2013,54,epic,130,4,0.9701492537313433
2015,52,paypal,130,2,0.9848484848484849
2014,61,columbia univ,129,1,0.9923076923076923
2016,61,harvard,129,2,0.9847328244274809
2012,33,broadcom,129,0,1.0
2014,61,yale,129,1,0.9923076923076923
2018,51,yahoo s,129,5,0.9626865671641791
2014,45,ebay,129,0,1.0
2018,61,columbia,129,1,0.9923076923076923
2018,33,tesla,128,5,0.9624060150375939
2012,54,slk,128,1,0.9922480620155039
2019,61,univ of pennsylvania,128,0,1.0
2016,51,the mathworks,128,2,0.9846153846153847
2017,54,htc,127,41,0.7559523809523809
2013,54,cgi  and,127,1,0.9921875
2018,52,paypal,127,2,0.9844961240310077
2015,33,hewlettpackard,127,1,0.9921875
2012,54,niit,127,0,1.0
2018,33,qualcomm,126,14,0.9
2018,54,pricewaterhousecoopers,126,12,0.9130434782608695
2019,61,johns hopkins,126,1,0.9921259842519685
2017,61,johns hopkins univ,125,2,0.984251968503937
2015,54,cigniti,125,0,1.0
2018,33,general motors,125,1,0.9920634920634921
2019,54,exlcom,125,55,0.6944444444444444
2019,61,of wisconsin madison,125,1,0.9920634920634921
2015,54,htc,124,2,0.9841269841269841
2019,52,visa u s a,124,6,0.9538461538461539
2012,54,kforce,123,9,0.9318181818181818
2015,54,zs,123,3,0.9761904761904762
2012,54,vmware,123,0,1.0
2019,54,computer sciences,123,16,0.8848920863309353
2016,51,bloomberg,123,0,1.0
2015,54,kpit info,122,4,0.9682539682539683
2013,54,fujitsu,122,3,0.976
2016,54,uber,122,0,1.0
2013,61,johns hopkins,122,0,1.0
2018,61,yale,122,0,1.0
2018,54,deloitte tax,122,7,0.9457364341085271
2016,33,nvidia,121,0,1.0
2016,61,of minnesota,121,0,1.0
2012,61,of minnesota,121,0,1.0
2012,33,marvell semiconductor,121,0,1.0
2012,61,univ of pittsburgh,121,1,0.9918032786885246
2015,54,cerner,121,0,1.0
2017,52,bank of  na,121,6,0.952755905511811
2013,61,univ of pittsburgh,121,0,1.0
2019,33,nutanix,121,2,0.983739837398374
2017,61,harvard,121,3,0.9758064516129032
2019,61,univ of minnesota,120,0,1.0
2015,51,linkedin,120,0,1.0
2017,54,hitachi,120,13,0.9022556390977443
2015,54,csc covansys,120,14,0.8955223880597015
2018,61,univ of chicago booth school bus,120,2,0.9836065573770492
2016,54,hewlett packard enterprise,120,3,0.975609756097561
2019,54,hitachi,120,16,0.8823529411764706
2013,61,baylor college of medicine,119,1,0.9916666666666667
2012,54,netapp,119,0,1.0
2014,54,cgi,119,3,0.9754098360655737
2012,33,micron,119,2,0.9834710743801653
2019,33,cadence design,119,3,0.9754098360655737
2013,54,dis natl institutes of health dhhs,119,0,1.0
2018,61,of minnesota,119,1,0.9916666666666667
2013,54,mckinsey,118,2,0.9833333333333333
2012,62,cleveland clinic foundation,118,0,1.0
2012,52,bank of  na,118,1,0.9915966386554622
2019,61,the  of chicago,118,3,0.9752066115702479
2012,52,morgan stanley  (formerly,118,0,1.0
2014,51,bloomberg,117,0,1.0
2017,51,snap,117,0,1.0
2019,51,expedia,117,1,0.9915254237288136
2017,54,computer sciences,117,6,0.9512195121951219
2019,33,general motors,117,5,0.9590163934426229
2013,54,itc,117,14,0.8931297709923665
2019,54,twitter,117,0,1.0
2014,54,mckinsey  united states,117,0,1.0
2012,61,univ of pennsylvania,117,4,0.9669421487603306
2013,61,harvard univ,117,0,1.0
2018,54,kpmg,116,7,0.943089430894309
2017,54,experis,116,82,0.5858585858585859
2013,21,schlumberger,116,0,1.0
2012,61,yale,116,0,1.0
2019,61,yale,116,1,0.9914529914529915
2018,54,salesforcecom,115,2,0.9829059829059829
2019,54,amgen,115,8,0.9349593495934959
2014,61,univ of minnesota,115,1,0.9913793103448276
2013,54,infosys bpo,115,11,0.9126984126984127
2016,61,yale univ,115,0,1.0
2016,54,salesforcecom,115,0,1.0
2018,54,mar,114,22,0.8382352941176471
2019,61,of florida,114,1,0.991304347826087
2015,62,memorial sloan kettering cancer ce,114,1,0.991304347826087
2016,54,sap,114,1,0.991304347826087
2012,54,smartplay,114,0,1.0
2019,54,deloitte tax,114,4,0.9661016949152542
2019,52,blackrock  management,114,3,0.9743589743589743
2018,54,pricewaterhousecoopers advisory se,113,20,0.849624060150376
2019,33,applied materials,113,9,0.9262295081967213
2016,61,univ of california san francisco,113,1,0.9912280701754386
2019,61,of pittsburgh,113,2,0.9826086956521739
2018,61,johns hopkins,113,2,0.9826086956521739
2019,62,memorial sloan kettering cancer ct,113,0,1.0
2013,54,vmware,113,1,0.9912280701754386
2014,33,nvidia,113,3,0.9741379310344828
2016,54,juniper,113,1,0.9912280701754386
2019,54,quest  na,113,35,0.7635135135135135
2019,52,barclays,113,2,0.9826086956521739
2012,51,the mathworks,113,3,0.9741379310344828
2013,51,yahoo,112,0,1.0
2012,54,epic,112,5,0.9572649572649573
2012,54,rsware,112,5,0.9572649572649573
2017,61,of pittsburgh,112,1,0.9911504424778761
2016,33,tesla motors,112,0,1.0
2016,61,mayo clinic,111,1,0.9910714285714286
2019,54,veridic,111,93,0.5441176470588235
2013,62,cleveland clinic foundation,111,1,0.9910714285714286
2014,54,epic,111,0,1.0
2017,54,sap,111,3,0.9736842105263158
2012,33,foundries,111,1,0.9910714285714286
2018,54,epam,110,40,0.7333333333333333
2015,33,ericsson,110,0,1.0
2017,56,management health,110,1,0.990990990990991
2016,61,michigan state univ,110,2,0.9821428571428571
2015,61,yale,110,0,1.0
2013,54,colera  previously known as,110,1,0.990990990990991
2015,61,of minnesota,110,0,1.0
