Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2013,51,palantir,21,0,1.0
2012,54,trianz,21,0,1.0
2014,33,gulfstream aerospace,21,0,1.0
2014,54,quadrant 4,21,10,0.6774193548387096
2017,54,infinite computer,21,2,0.9130434782608695
2012,33,lam research,21,0,1.0
2015,54,intelli,21,4,0.84
2018,54,validation,21,5,0.8076923076923077
2017,61,central florida,21,3,0.875
2015,33,gulfstream aerospace,21,0,1.0
2012,54,akraya,21,1,0.9545454545454546
2014,54,the methodist hosp research inst,21,0,1.0
2012,62,partners healthcare,21,0,1.0
2013,54,nisum,21,2,0.9130434782608695
2017,54,infinite computing,21,1,0.9545454545454546
2012,33,chrysler,21,1,0.9545454545454546
2013,54,adept computer consultants,21,1,0.9545454545454546
2015,54,casoft,21,3,0.875
2019,54,mckesson,21,1,0.9545454545454546
2018,33,dish,21,1,0.9545454545454546
2019,61,pres  fellows of middlebury colle,21,0,1.0
2012,54,supreme,21,0,1.0
2015,54,libertycom,21,2,0.9130434782608695
2013,54,tringapps,21,0,1.0
2014,54,integration,21,2,0.9130434782608695
2016,54,9to9ware,21,0,1.0
2019,61,tx  univ health sciences ctr,21,1,0.9545454545454546
2019,54,altran,21,3,0.875
2016,52,two sigma investments,21,0,1.0
2017,61,georgia state,21,0,1.0
2016,54,iblesoft,21,5,0.8076923076923077
2019,54,commvault,21,2,0.9130434782608695
2018,61,of hawaii,21,0,1.0
2015,33,abb,21,0,1.0
2017,54,rapid  bus,21,4,0.84
2012,52,nomura securities intl,21,0,1.0
2019,54,xdin,21,0,1.0
2012,54,ptc,21,0,1.0
2018,52,cigna health  life insurance co,21,1,0.9545454545454546
2017,61,montana state,21,0,1.0
2019,54,vastika,21,26,0.44680851063829785
2016,54,sri,21,0,1.0
2018,54,tripadvisor,21,2,0.9130434782608695
2019,54,pro,21,8,0.7241379310344828
2018,54,cvent,21,1,0.9545454545454546
2014,51,logic,21,1,0.9545454545454546
2014,54,sarayu consultants,21,3,0.875
2018,61,west virginia univ,21,0,1.0
2018,61,southern methodist,21,0,1.0
2014,54,adept computer consultants,21,3,0.875
2017,33,honeywell,21,0,1.0
2019,54,latham  watkins,21,0,1.0
2015,51,unitedware,21,0,1.0
2016,62,children s national medical ctr,21,2,0.9130434782608695
2019,54,miech,21,6,0.7777777777777778
2018,52,deutsche bank new york branch,21,6,0.7777777777777778
2018,54,skadden arps slate meagher  flom,21,0,1.0
2016,54,slashsupport,21,3,0.875
2019,52,citadel securities amercias,21,0,1.0
2016,54,abal,21,3,0.875
2012,52,state st bank and trust,21,0,1.0
2015,33,maxim integrated products,21,0,1.0
2013,54,akvarr,21,22,0.4883720930232558
2016,54,intriv,21,0,1.0
2013,54,satyam venture engineering  pv,21,2,0.9130434782608695
2014,54,secureapp,21,4,0.84
2016,54,goken,21,2,0.9130434782608695
2012,54,adecco  namodis,21,0,1.0
2019,61,kent state,21,0,1.0
2016,51,godaddycom,21,0,1.0
2014,62,maimonides med ctr,21,0,1.0
2012,54,beckman research inst of the city,21,0,1.0
2017,52,ubs securties,21,0,1.0
2016,54,source mantra,21,2,0.9130434782608695
2018,45,target enterprise,21,0,1.0
2019,51,att,21,1,0.9545454545454546
2012,61,the univ of aama,21,0,1.0
2019,52,susquehanna  grp,21,0,1.0
2018,33,arm,21,1,0.9545454545454546
2019,54,medallia,21,2,0.9130434782608695
2013,51,gree,21,0,1.0
2015,54,northstar,21,5,0.8076923076923077
2018,61,utah state,21,0,1.0
2018,54,sai,21,12,0.6363636363636364
2013,54,expedia,21,0,1.0
2017,54,veveyware,21,1,0.9545454545454546
2012,32,biogen idec,21,0,1.0
2019,61,drexel,21,1,0.9545454545454546
2014,54,aha net,21,1,0.9545454545454546
2019,32,novitium pharma,21,0,1.0
2018,54,applied computer niques,21,16,0.5675675675675675
2017,54,northstar,21,33,0.3888888888888889
2015,54,idexcel,21,4,0.84
2012,33,dell prod  process innovation ser,21,1,0.9545454545454546
2016,33,rockwell collins,21,0,1.0
2012,33,3m,21,1,0.9545454545454546
2015,54,sree,21,6,0.7777777777777778
2013,54,soho square,21,1,0.9545454545454546
2013,61,univ of nevada reno,21,0,1.0
2013,54,iquadra,21,0,1.0
2016,52,hsbc securities,21,0,1.0
2012,54,mansai,21,4,0.84
2016,52,sg  securities,21,0,1.0
2015,54,cw pro  dba lochbridge,21,4,0.84
2016,61,state univ of new york at binghamt,21,1,0.9545454545454546
2018,54,smartworks,21,3,0.875
2017,51,verizon,21,0,1.0
2015,54,idhasoft,21,1,0.9545454545454546
2015,54,t2m,21,8,0.7241379310344828
2017,62,children s natl med ctr,21,0,1.0
2016,54,litmus7,21,1,0.9545454545454546
2017,54,allied informatics,21,3,0.875
2019,54,ads alliance,21,3,0.875
2018,54,apex,21,3,0.875
2013,54,summitworks,21,2,0.9130434782608695
2016,54,gspann,21,2,0.9130434782608695
2012,33,arm,21,0,1.0
2018,52,the pnc fin,21,0,1.0
2014,54,valiantica,21,4,0.84
2014,54,tripadvisor,21,0,1.0
2018,54,fred hutchinson cancer research ce,21,1,0.9545454545454546
2017,62,dental dreams,21,0,1.0
2015,54,telecom,21,0,1.0
2019,33,smith  nephew,21,0,1.0
2016,54,n,21,59,0.2625
2018,54,novartis insts for biomedical rese,21,0,1.0
2015,54,docmation,21,1,0.9545454545454546
2014,54,rapid,21,1,0.9545454545454546
2017,54,the advisory board,21,0,1.0
2014,61,borga obo ga regents univ,21,0,1.0
2019,56,trinet,21,2,0.9130434782608695
2013,54,sanford burnham med research insti,21,1,0.9545454545454546
2015,56,orbitz worldwide,21,0,1.0
2012,61,of texas health science,21,1,0.9545454545454546
2014,33,robert bosch,21,0,1.0
2018,51,lexisnexis,21,3,0.875
2015,52,state street bank and trust co,21,0,1.0
2013,54,yaxis,21,0,1.0
2019,61,ca institute of jet propulsio,21,0,1.0
2013,54,vigilant,21,2,0.9130434782608695
2012,52,nationwide insurance,21,0,1.0
2018,51,ccc,21,0,1.0
2016,33,philips electronics na,21,1,0.9545454545454546
2016,62,beth israel deaconess med center,21,1,0.9545454545454546
2012,61,of california riverside,21,0,1.0
2014,54,usm,21,2,0.9130434782608695
2017,52,citi  markets,21,0,1.0
2015,61,univ of mississippi medical ctr,21,0,1.0
2016,52,blackrock capital management,21,0,1.0
2018,54,cnet,21,7,0.75
2017,56,transunion,21,0,1.0
2018,54,optum,21,2,0.9130434782608695
2014,54,lilax,21,8,0.7241379310344828
2019,62,john h stroger jr hosp of cook cou,21,0,1.0
2014,54,pegasus,21,19,0.525
2013,54,vlink,21,0,1.0
2017,54,gilead sciences,21,0,1.0
2017,54,spruce,21,6,0.7777777777777778
2015,54,opus,21,1,0.9545454545454546
2019,31,nestle regional globe office north,21,1,0.9545454545454546
2013,52,capital one national association,21,0,1.0
2016,54,anjus,21,0,1.0
2017,54,palo alto,21,0,1.0
2019,52,us bank national association,21,1,0.9545454545454546
2017,54,a10,21,0,1.0
2013,33,dehi,21,0,1.0
2015,54,vista applied,21,0,1.0
2019,61,the univ of vt,20,1,0.9523809523809523
2015,61,research fdn of the city univ of n,20,2,0.9090909090909091
2015,33,brocade,20,0,1.0
2015,54,spruce,20,0,1.0
2013,54,cyberbrains,20,20,0.5
2016,54,n institutes for research,20,0,1.0
2015,54,trianz,20,0,1.0
2012,54,xpedite,20,0,1.0
2015,42,samsung electronics,20,0,1.0
2017,54,autoliv asp,20,0,1.0
2016,54,mindlance,20,0,1.0
2018,32,kvk,20,0,1.0
2014,54,manhattan,20,0,1.0
2019,52,western union,20,0,1.0
2014,54,kaizen,20,3,0.8695652173913043
2018,52,blackrock capital management,20,1,0.9523809523809523
2013,54,infolob,20,5,0.8
2018,54,the scripps research institute,20,0,1.0
2013,62,cedars sinai medical center,20,0,1.0
2013,54,charter,20,1,0.9523809523809523
2012,54,national,20,7,0.7407407407407407
2018,62,nychhc metropolitan hospital cente,20,0,1.0
2015,54,canvas,20,2,0.9090909090909091
2012,54,mcafee,20,0,1.0
2016,33,seagate,20,0,1.0
2017,54,roush management,20,0,1.0
2014,54,saksoft,20,0,1.0
2017,54,triesten,20,1,0.9523809523809523
2013,54,first,20,1,0.9523809523809523
2017,54,microstrategy,20,3,0.8695652173913043
2015,54,nest,20,0,1.0
2014,62,nychhc loln med  mental hlth c,20,0,1.0
2019,54,smithjjr  subsidiary smith,20,0,1.0
2013,33,asml,20,0,1.0
2019,51,markit north am  dba ihs markit,20,0,1.0
2018,54,latham  watkins,20,2,0.9090909090909091
2016,62,maimonides medical ctr,20,0,1.0
2018,61,lsu health sciences center,20,0,1.0
2014,54,randstad,20,1,0.9523809523809523
2012,54,life,20,0,1.0
2016,54,allied informatics,20,0,1.0
2016,54,vsoft,20,2,0.9090909090909091
2015,52,cfa institute,20,0,1.0
2015,54,laksan,20,0,1.0
2019,33,rockwell automation,20,1,0.9523809523809523
2013,54,marvel,20,5,0.8
2015,54,ispace,20,0,1.0
2013,52,east west bank,20,1,0.9523809523809523
2015,61,curators of the univ of missouri,20,0,1.0
2014,54,globaoint,20,4,0.8333333333333334
2017,61,univ of wyoming,20,1,0.9523809523809523
2018,54,galaxe,20,1,0.9523809523809523
2014,54,trans   syss,20,0,1.0
2018,54,magic leap,20,0,1.0
2019,52,citi credit,20,0,1.0
2018,54,sage,20,6,0.7692307692307693
2019,54,ioasiz,20,7,0.7407407407407407
2015,61,east carolina univ,20,1,0.9523809523809523
2016,54,canvas,20,7,0.7407407407407407
2016,61,of hawaii,20,0,1.0
2017,54,irisware,20,2,0.9090909090909091
2015,54,stellent,20,0,1.0
2014,33,nutanix,20,0,1.0
2012,54,compunnelware,20,0,1.0
2019,52,liberty mutual,20,5,0.8
2015,54,mobile programming,20,4,0.8333333333333334
2019,61,colorado state,20,1,0.9523809523809523
2019,54,towers watson delaware,20,2,0.9090909090909091
2018,52,bank of the west,20,0,1.0
2019,51,hulu,20,1,0.9523809523809523
2016,61,tufts,20,1,0.9523809523809523
2015,54,vi,20,2,0.9090909090909091
2013,54,monsanto,20,0,1.0
2013,54,synapse design automation,20,0,1.0
2019,54,newt,20,8,0.7142857142857143
2014,54,injware,20,2,0.9090909090909091
2013,54,prokarma,20,1,0.9523809523809523
2013,56,sdlc management,20,0,1.0
2018,54,ssa,20,5,0.8
2019,61,west virginia,20,0,1.0
2012,54,param,20,0,1.0
2016,52,barclays capital,20,0,1.0
2017,54,mirafra,20,0,1.0
2019,61,saint louis,20,0,1.0
2015,11,murphybrown,20,8,0.7142857142857143
2016,54,cedent,20,2,0.9090909090909091
2014,54,blue telcom,20,0,1.0
2012,54,cnet,20,0,1.0
2018,56,g,20,0,1.0
2013,54,primesoft,20,3,0.8695652173913043
2014,54,param,20,15,0.5714285714285714
2019,54,ugam  sez pvt,20,1,0.9523809523809523
2017,54,merck sharp  dohme,20,0,1.0
2014,62,united methodist homes,20,0,1.0
2012,54,sanford burnham medical research i,20,0,1.0
2014,54,n bureau of shipping abs,20,0,1.0
2013,62,the metrohealth,20,0,1.0
2014,54,tekcommands,20,4,0.8333333333333334
2017,61,medical univ of sc  affiliates,20,1,0.9523809523809523
2012,54,monsanto co,20,1,0.9523809523809523
2014,61,ebs healthcare,20,1,0.9523809523809523
2016,54,nocomp,20,2,0.9090909090909091
2015,54,the dow chemical,20,0,1.0
2013,61,mississippi state univ,20,4,0.8333333333333334
2014,54,moodys analytics a subsidiary of m,20,0,1.0
2014,54,raas infotek,20,1,0.9523809523809523
2012,54,advent,20,1,0.9523809523809523
2019,61,univ of oklahoma health sciences c,20,0,1.0
2018,54,towers watson delaware,20,1,0.9523809523809523
2018,54,ca  industry name ca s,20,9,0.6896551724137931
2015,54,electronic arts,20,0,1.0
2012,54,softpath,20,9,0.6896551724137931
2019,32,pfizer,20,0,1.0
2018,54,ptc,20,4,0.8333333333333334
2018,54,visual,20,19,0.5128205128205128
2019,44,the gap,20,2,0.9090909090909091
2018,52,citi management,20,1,0.9523809523809523
2014,54,z and a infotek,20,0,1.0
2013,51,sinovision,20,4,0.8333333333333334
2016,61,the univ of vermont,20,0,1.0
2019,99,ringcentral,20,1,0.9523809523809523
2013,33,maxim integrated products,20,1,0.9523809523809523
2012,54,pyramid,20,1,0.9523809523809523
2018,54,nam,20,14,0.5882352941176471
2016,61,medical college of wisconsin,20,0,1.0
2014,54,sysnet,20,2,0.9090909090909091
2013,54,sabaware,20,1,0.9523809523809523
2013,61,univ of texas at san antonio,20,0,1.0
2018,54,bsaspec,20,76,0.20833333333333334
2012,54,e experts,20,0,1.0
2019,54,wb,20,4,0.8333333333333334
2014,54,clairvoyant no,20,1,0.9523809523809523
2016,51,adp,20,1,0.9523809523809523
2019,22,battelle energy alliance,20,0,1.0
2016,54,the salk institute for biological,20,0,1.0
2019,52,tsys,20,3,0.8695652173913043
2016,54,orchestra,20,2,0.9090909090909091
2014,54,lenora,20,4,0.8333333333333334
2016,54,california creative,20,6,0.7692307692307693
2018,53,cbre,20,1,0.9523809523809523
2014,61,the curators of the univ of missou,20,0,1.0
2015,51,environmental  research ins,20,0,1.0
2019,52,akuna capital,20,2,0.9090909090909091
2014,54,fred hutchinson cancer research ce,20,0,1.0
2018,54,sapient,20,8,0.7142857142857143
2012,62,nyc hhc loln medical  mental h,20,0,1.0
2014,54,globus,20,0,1.0
2019,54,united,20,7,0.7407407407407407
2014,54,amerisoft,20,0,1.0
2016,33,naztec    dba,20,0,1.0
2019,61,the  of kansas,20,0,1.0
2019,54,o2,20,16,0.5555555555555556
2019,54,sp,20,15,0.5714285714285714
2019,54,visionet,20,9,0.6896551724137931
2019,54,riot games,20,4,0.8333333333333334
2012,54,sparta,20,0,1.0
2014,54,orpine,20,2,0.9090909090909091
2014,54,cautela inst of informatics and te,20,0,1.0
2019,51,twitch interactive,20,2,0.9090909090909091
2015,54,bell,20,4,0.8333333333333334
2015,54,sagitec,20,1,0.9523809523809523
2013,54,the henry m jackson foundation,20,0,1.0
2014,54,ca institute of jet propulsio,20,0,1.0
2016,61,california state univ fullerton,20,0,1.0
2014,61,univ of ms medical center,20,2,0.9090909090909091
2014,54,venturesoft,20,19,0.5128205128205128
2013,33,continental automotive,20,1,0.9523809523809523
2017,61,state univ of n y at stony brook,20,2,0.9090909090909091
2013,54,amerisoftpro,20,0,1.0
2012,54,expedia,20,0,1.0
2016,61,georgetown,20,1,0.9523809523809523
2014,54,dewware,20,2,0.9090909090909091
2017,54,platinum empire grp,20,27,0.425531914893617
2013,54,supreme,20,1,0.9523809523809523
2019,54,skillstorm commercial,20,7,0.7407407407407407
2014,54,tekmark,20,3,0.8695652173913043
2019,54,softvision  formerlyware p,20,10,0.6666666666666666
2016,54,servesys,20,1,0.9523809523809523
2014,54,eworld,20,0,1.0
2016,54,maantic,20,0,1.0
2019,62,the brookdale hospital medical cen,20,0,1.0
2017,54,goken,20,2,0.9090909090909091
2018,61,brown univ,20,1,0.9523809523809523
2013,54,endue,20,2,0.9090909090909091
2015,54,samiti,20,1,0.9523809523809523
2017,61,the univ of kansas medical ctr,20,0,1.0
2013,54,appnexus,20,1,0.9523809523809523
2012,54,cyma,20,0,1.0
2015,61,of california santa bar,20,0,1.0
2015,54,quadrant 4,20,10,0.6666666666666666
2012,51,ansys,20,0,1.0
2012,54,3s,20,5,0.8
2015,54,softnice,20,0,1.0
2013,54,swanktek,20,1,0.9523809523809523
2019,54,9to9ware,20,1,0.9523809523809523
2013,61,the univ of texas at arlington,20,0,1.0
2015,54,pro,20,2,0.9090909090909091
2019,33,invensense,20,3,0.8695652173913043
2014,54,national instruments,20,0,1.0
2015,54,quest,20,5,0.8
2014,42,n s,20,0,1.0
2016,54,applied computer niques,20,7,0.7407407407407407
2012,54,trinuc,20,1,0.9523809523809523
2019,54,c3  dba c3 lot,20,1,0.9523809523809523
2014,54,commvault,20,0,1.0
2012,54,dell marketing,20,0,1.0
2013,54,wissen,20,0,1.0
2019,61,borga obo augusta univ,20,1,0.9523809523809523
2018,54,mercury,20,18,0.5263157894736842
2018,33,maxim integrated products,20,0,1.0
2014,54,tekwissen,20,0,1.0
2015,54,pure storage,20,1,0.9523809523809523
2017,45,stubhub,20,1,0.9523809523809523
2015,54,ascii,20,1,0.9523809523809523
2014,62,aegis therapies,20,0,1.0
2019,22,midcontinent independent,20,0,1.0
2013,61,the univ of toledo,20,0,1.0
2017,54,p square,20,0,1.0
2017,54,entitware,20,0,1.0
2015,54,baker hughes,20,0,1.0
2013,54,cvision,20,1,0.9523809523809523
2014,54,racar intl de,20,4,0.8333333333333334
2018,61,ncs pearson  an indirect wholly,20,2,0.9090909090909091
2014,61,univ of texas at san antonio,20,0,1.0
2014,61,research fdn of suny at buffalo,20,0,1.0
2012,33,baxter healthcare,20,0,1.0
2012,54,saras,20,4,0.8333333333333334
2013,54,lancesoft,20,0,1.0
2016,52,mastercard,20,0,1.0
2015,54,smartworks,20,1,0.9523809523809523
2017,33,hp,20,10,0.6666666666666666
2015,54,lara tekies,20,1,0.9523809523809523
2013,61,w m rice,20,1,0.9523809523809523
2018,54,diversant,20,9,0.6896551724137931
2013,54,sas institute,20,1,0.9523809523809523
2019,54,genius minds,20,20,0.5
2018,52,cybersource,20,0,1.0
2019,61,george mason univ,20,0,1.0
2018,51,hulu,20,0,1.0
2017,54,pioneer,20,13,0.6060606060606061
2019,49,exel  dba dhl supply chain,20,0,1.0
2013,54,xenosoft,20,2,0.9090909090909091
2015,54,tts,20,0,1.0
2017,54,app,20,7,0.7407407407407407
2016,54,vedicsoft,20,0,1.0
2014,56,suprasoft,20,0,1.0
2014,62,tender touch rehab,20,4,0.8333333333333334
2016,54,avani,20,3,0.8695652173913043
2012,54,tx agrilife research part of tamus,20,1,0.9523809523809523
2017,54,maxima,20,1,0.9523809523809523
2019,33,agilent,20,0,1.0
2016,61,rutgers the state univ of new jers,20,0,1.0
2013,54,etest dba forte consultin,20,2,0.9090909090909091
2012,54,gdn,20,3,0.8695652173913043
2015,45,overstock dba o co,20,0,1.0
2017,54,sonataware na formerly odsi,20,1,0.9523809523809523
2012,61,univ of medicine  dentistry of nj,20,0,1.0
2012,54,systime computer,20,1,0.9523809523809523
2012,54,new york  partners,20,0,1.0
2015,54,fortinet,20,0,1.0
2017,33,freescale semiconductor  dba nx,20,1,0.9523809523809523
2014,54,rtkl,20,0,1.0
2012,61,central consolidated sch district,20,0,1.0
2014,54,cyma,20,3,0.8695652173913043
2013,54,quantum vision,20,0,1.0
2017,52,bank of china new york branch,20,1,0.9523809523809523
2012,56,advantage nical resourcing,20,0,1.0
2019,61,ncs pearson  an indriect wholly,20,4,0.8333333333333334
2013,54,citadel,20,0,1.0
2016,54,united,20,7,0.7407407407407407
2017,54,wb,20,0,1.0
2018,61,colorado state univ,20,0,1.0
2015,61,univ of kansas med ctr,20,0,1.0
2015,54,broad institute,20,0,1.0
2019,54,infomatics,20,6,0.7692307692307693
2015,62,cedarssinai medical center,20,0,1.0
2015,54,microstrategy,20,2,0.9090909090909091
2019,54,dow chemical,20,0,1.0
2014,54,the salk inst for biological studi,20,0,1.0
2019,61,mississippi state,20,3,0.8695652173913043
2013,54,celcite management,20,1,0.9523809523809523
2019,33,general electric,20,0,1.0
2019,54,caprus,20,16,0.5555555555555556
2019,54,applied predictive,20,6,0.7692307692307693
2015,61,boston college,20,0,1.0
2015,21,chevron,20,0,1.0
2015,54,isite,20,1,0.9523809523809523
2013,54,virtue,20,1,0.9523809523809523
2012,33,philips med syss,20,0,1.0
2014,54,it spin,20,3,0.8695652173913043
2014,54,novi,20,4,0.8333333333333334
2016,54,intl s pro  dba iq  pro,20,1,0.9523809523809523
2018,54,n institutes for research,20,2,0.9090909090909091
2012,54,deebecon,20,0,1.0
2013,54,eis,20,0,1.0
2018,62,st barnabas hospital,20,0,1.0
2012,54,mindteck,20,1,0.9523809523809523
2015,56,grandison management,20,3,0.8695652173913043
2017,54,vensar,20,4,0.8333333333333334
2015,54,antra,20,3,0.8695652173913043
2017,62,st luke s roosevelt hosp ctr,20,0,1.0
2012,54,gspann,20,0,1.0
2015,54,jnit,20,1,0.9523809523809523
2015,61,univ of south carolina,20,0,1.0
2015,54,tabner,20,3,0.8695652173913043
2015,61,stanford univslac natl accelerato,20,0,1.0
2019,33,continental automotive,20,1,0.9523809523809523
2015,33,illumina,20,0,1.0
2017,56,credit suisse,20,0,1.0
2019,54,ptc,20,11,0.6451612903225806
2013,54,nest,20,0,1.0
2016,54,softhq,20,3,0.8695652173913043
2014,54,millenniumware,20,1,0.9523809523809523
2019,51,value,20,14,0.5882352941176471
2017,54,innovative intelligent  l,20,15,0.5714285714285714
2014,54,genen,20,0,1.0
2018,54,hi,20,1,0.9523809523809523
2014,54,enterprise,20,10,0.6666666666666666
2017,51,godaddycom,20,0,1.0
2014,54,maxima,20,2,0.9090909090909091
2016,54,epitec,20,1,0.9523809523809523
2013,54,thought bang,19,3,0.8636363636363636
2019,52,the bank of new york mellon,19,0,1.0
2015,54,aqua,19,1,0.95
2013,61,central michigan,19,0,1.0
2016,61,of arkansas,19,1,0.95
2013,54,california creative,19,1,0.95
2019,54,ntess,19,0,1.0
2017,54,tintri,19,0,1.0
2012,54,sogeti,19,0,1.0
2015,54,multivision,19,0,1.0
2013,33,xilinx,19,0,1.0
2012,61,laureate education,19,0,1.0
2012,54,prospect infosys,19,0,1.0
2016,54,sbase,19,6,0.76
2013,54,ces,19,1,0.95
2013,33,analog devices,19,0,1.0
2018,33,schneider electric,19,1,0.95
2019,61,wichita state,19,0,1.0
2019,54,thought byte,19,2,0.9047619047619048
2018,54,micronet,19,41,0.31666666666666665
2014,54,citadel,19,1,0.95
2019,54,mitchell,19,0,1.0
2013,51,telenav,19,0,1.0
2015,54,adaequare,19,0,1.0
2013,61,univ of ma boston,19,0,1.0
2016,54,scepter,19,5,0.7916666666666666
2015,54,grant thornton,19,0,1.0
2018,51,ye,19,2,0.9047619047619048
2013,62,rush  medical center,19,0,1.0
2013,54,tt noloogies,19,1,0.95
2013,54,q,19,1,0.95
2015,62,william beaumont hospital,19,0,1.0
2013,61,thomas jefferson,19,0,1.0
2013,54,tekmark,19,1,0.95
2017,54,epitec,19,0,1.0
2015,54,bdo,19,0,1.0
2018,54,softvision  formerlyware p,19,6,0.76
2018,54,rang,19,6,0.76
2019,62,interface rehab,19,6,0.76
2014,54,landmark graphics,19,0,1.0
2018,54,quadgen wireless,19,0,1.0
2014,54,youngsoft,19,3,0.8636363636363636
2018,33,philips north,19,2,0.9047619047619048
2014,54,fuhu,19,1,0.95
2013,54,sunpros,19,2,0.9047619047619048
2013,54,revision,19,2,0.9047619047619048
2017,54,pike,19,15,0.5588235294117647
2017,54,racar engineering,19,2,0.9047619047619048
2019,52,trans life insurance co,19,2,0.9047619047619048
2016,62,beth israel deaconess med ctr,19,0,1.0
2019,54,inteelligence,19,2,0.9047619047619048
2014,54,smartworks,19,1,0.95
2013,54,professional access,19,0,1.0
2012,54,tiny planet,19,1,0.95
2016,54,trianz,19,0,1.0
2016,54,i,19,41,0.31666666666666665
2012,54,span,19,1,0.95
2018,54,halliburton energy,19,1,0.95
2016,54,servo,19,0,1.0
2016,33,silicon oratories,19,0,1.0
2015,62,the brookdale univ hosp and med ct,19,0,1.0
2017,54,sanford burnham prebys medical dis,19,0,1.0
2018,51,viasat,19,1,0.95
2013,54,nam,19,0,1.0
2013,54,neelinfo,19,3,0.8636363636363636
2019,54,equinix,19,0,1.0
2018,54,p3 north,19,4,0.8260869565217391
2013,54,unique comp,19,0,1.0
2019,54,novartis insts for biomedical rese,19,1,0.95
2013,54,covanex,19,2,0.9047619047619048
2018,54,slalom,19,6,0.76
2013,54,sun tec   private,19,2,0.9047619047619048
2015,54,visionet,19,0,1.0
2018,54,conch,19,3,0.8636363636363636
2016,61,the univ of kansas medical ctr,19,0,1.0
2015,54,transnationalware,19,0,1.0
2017,54,formac,19,0,1.0
2017,54,texas am engineering experiment s,19,1,0.95
2012,33,maxim integrated products,19,0,1.0
2017,54,black  veatch,19,0,1.0
2013,54,device inside,19,1,0.95
2012,33,general electric,19,0,1.0
2012,54,hanusoft,19,7,0.7307692307692307
2018,61,ca inst of  jet propulsion,19,0,1.0
2016,61,of north dakota,19,0,1.0
2016,54,sapphireware,19,4,0.8260869565217391
2015,54,integration,19,6,0.76
2015,54,vsquare,19,5,0.7916666666666666
2019,54,advithri,19,13,0.59375
2013,61,georgia state univ,19,0,1.0
2013,54,cybageware,19,0,1.0
2015,61,state univ of ny at stony brook,19,0,1.0
2019,52,citadel enterprise,19,1,0.95
2018,54,twitter,19,2,0.9047619047619048
2019,32,eli lilly and,19,1,0.95
2012,62,comprehab  dba compleat rehab,19,0,1.0
2016,61,embry riddle aeronautical univ,19,0,1.0
2019,54,softworld,19,2,0.9047619047619048
2019,54,gilead sciences,19,1,0.95
2018,62,metrohealth medical center,19,0,1.0
2014,54,alliance for sustainable energy ll,19,0,1.0
2016,61,univ of texas hlth science ctr san,19,0,1.0
2018,54,amadeus north,19,1,0.95
2017,61,of oregon,19,2,0.9047619047619048
2013,54,ishift,19,6,0.76
2019,54,npv staffing,19,5,0.7916666666666666
2017,54,delta,19,10,0.6551724137931034
2019,54,teknatio,19,5,0.7916666666666666
2015,33,xilinx,19,0,1.0
2017,54,vigilant,19,0,1.0
2017,61,research foundation of suny at buf,19,1,0.95
2016,61,ut arlington,19,1,0.95
2015,54,cyma,19,2,0.9047619047619048
2013,54,new york  consultants,19,0,1.0
2015,54,sri,19,3,0.8636363636363636
2013,54,val,19,1,0.95
2015,54,essential,19,1,0.95
2018,54,sciegen pharmaceuticals,19,0,1.0
2018,54,nextgen,19,47,0.2878787878787879
2019,32,astrazeneca pharmaceuticals,19,0,1.0
2016,54,millenniumware,19,7,0.7307692307692307
2016,54,citius,19,1,0.95
2017,54,strategic staffing,19,1,0.95
2014,54,appsintegration,19,3,0.8636363636363636
2012,33,f5,19,0,1.0
2014,52,liberty mutual,19,0,1.0
2015,54,sanford burnham med research inst,19,0,1.0
2012,33,ford motor,19,0,1.0
2015,52,ubs securities,19,0,1.0
2018,62,cedars sinai medical center,19,0,1.0
2018,54,it  e,19,2,0.9047619047619048
2013,54,najsoft,19,4,0.8260869565217391
2014,54,vector,19,0,1.0
2014,54,qualihiware solitions,19,1,0.95
2014,54,credent,19,2,0.9047619047619048
2012,54,infinite computing,19,4,0.8260869565217391
2018,54,ar,19,8,0.7037037037037037
2018,54,essential,19,9,0.6785714285714286
2012,54,lhpware,19,1,0.95
2019,54,amazon,19,0,1.0
2017,54,spirent,19,0,1.0
2019,62,lifespan physician,19,0,1.0
2015,54,lawrence livermore natl security l,19,0,1.0
2012,54,indsoft,19,0,1.0
2019,54,vedicsoft,19,23,0.4523809523809524
2016,54,adalisoft,19,2,0.9047619047619048
2015,54,palo alto,19,0,1.0
2013,54,diksha,19,1,0.95
2012,54,ait,19,1,0.95
2013,61,the trustees of preton universi,19,1,0.95
2014,54,strategism,19,5,0.7916666666666666
2019,54,zaps nocrats,19,19,0.5
2016,54,miracleware,19,1,0.95
2016,54,latentview analytics,19,1,0.95
2015,54,lancesoft,19,2,0.9047619047619048
2017,54,tabner,19,1,0.95
2016,22,battelle energy alliance,19,0,1.0
2012,61,florida intl univ,19,0,1.0
2017,54,ryzlinkdba chuwa,19,0,1.0
2015,54,schweitzer engrg ratories,19,0,1.0
2014,54,srk,19,5,0.7916666666666666
2016,61,miami univ,19,0,1.0
2016,33,tyco electronicsa te connect,19,0,1.0
2017,54,novartis insts for biomedical rese,19,0,1.0
2013,54,united,19,0,1.0
2017,54,clearlite,19,7,0.7307692307692307
2014,54,nexius insight,19,1,0.95
2019,54,cambay,19,16,0.5428571428571428
2016,51,dropbox,19,0,1.0
