skill,salary
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,92019
Kubernetes,92019
Kubernetes,92019
Kubernetes,92019
Kubernetes,92100
Kubernetes,92100
Kubernetes,92100
Kubernetes,93000
Kubernetes,93000
Kubernetes,93000
Kubernetes,93000
Kubernetes,93000
Kubernetes,93000
Kubernetes,93000
Kubernetes,93000
Kubernetes,99000
Kubernetes,109900
Kubernetes,112120
Kubernetes,115000
Kubernetes,105000
Kubernetes,97000
Kubernetes,87859
Kubernetes,105000
Kubernetes,105000
Kubernetes,117000
Kubernetes,117000
Kubernetes,124000
Kubernetes,133000
Kubernetes,137000
Kubernetes,147200
Kubernetes,148000
Kubernetes,110000
Kubernetes,124000
Kubernetes,90000
Kubernetes,94950
Kubernetes,101774
Kubernetes,99000
Kubernetes,109200
Kubernetes,150000
Kubernetes,111405
Kubernetes,111405
Kubernetes,111405
Kubernetes,115398
Kubernetes,112000
Kubernetes,70000
Kubernetes,70000
Kubernetes,70000
Kubernetes,70000
Kubernetes,72000
Kubernetes,72000
Kubernetes,72000
Kubernetes,95000
Kubernetes,95000
Kubernetes,105000
Kubernetes,95000
Kubernetes,95000
Kubernetes,98000
Kubernetes,67000
Kubernetes,67000
Kubernetes,88670
Kubernetes,88670
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,98000
Kubernetes,100000
Kubernetes,100000
Kubernetes,111405
Kubernetes,115000
Kubernetes,60000
Kubernetes,100000
Kubernetes,115000
Kubernetes,96366
Kubernetes,93933
Kubernetes,93933
Kubernetes,96366
Kubernetes,96366
Kubernetes,71926
Kubernetes,72966
Kubernetes,72966
Kubernetes,76357
Kubernetes,76357
Kubernetes,80912
Kubernetes,80912
Kubernetes,81016
Kubernetes,81016
Kubernetes,81016
Kubernetes,84240
Kubernetes,84240
Kubernetes,84240
Kubernetes,84240
Kubernetes,84240
Kubernetes,84240
Kubernetes,85134
Kubernetes,85134
Kubernetes,85134
Kubernetes,85426
Kubernetes,85426
Kubernetes,85426
Kubernetes,85488
Kubernetes,87173
Kubernetes,87464
Kubernetes,87464
Kubernetes,88670
Kubernetes,88670
Kubernetes,90376
Kubernetes,90480
Kubernetes,90646
Kubernetes,90646
Kubernetes,90646
Kubernetes,91104
Kubernetes,91915
Kubernetes,93746
Kubernetes,96366
Kubernetes,96366
Kubernetes,103563
Kubernetes,80912
Kubernetes,85426
Kubernetes,89918
Kubernetes,105600
Kubernetes,116850
Kubernetes,100940
Kubernetes,103000
Kubernetes,130000
Kubernetes,114900
Kubernetes,122900
Kubernetes,73000
Kubernetes,80500
Kubernetes,85000
Kubernetes,85000
Kubernetes,90000
Kubernetes,90000
Kubernetes,90000
Kubernetes,90000
Kubernetes,90000
Kubernetes,90000
Kubernetes,92000
Kubernetes,92000
Kubernetes,92500
Kubernetes,93000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,95000
Kubernetes,96700
Kubernetes,98000
Kubernetes,98000
Kubernetes,99500
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100000
Kubernetes,100090
Kubernetes,102000
Kubernetes,103000
Kubernetes,103000
Kubernetes,103000
Kubernetes,103000
Kubernetes,103000
Kubernetes,103000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,105000
Kubernetes,107000
Kubernetes,108000
Kubernetes,108000
Kubernetes,108000
Kubernetes,108000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,110000
Kubernetes,112000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,115000
Kubernetes,118000
Kubernetes,118798
Kubernetes,120000
Kubernetes,120000
